candidate_id,rank,score,reasoning
CAND_0093912,1,92.0,"Standout applicant driven by 5.3 years of experience as a Senior Data Scientist, strong technical match (Feature Engineering, SAP, CNN) in Chandigarh, Chandigarh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0095619,2,91.0,"Standout applicant driven by 15.6 years of experience as a NLP Engineer, strong technical match (Feature Engineering, Pinecone, MLflow) in Mumbai, Maharashtra. Ranked highly due to outstanding Resume Relevance, Market Demand, and Skill Coverage."
CAND_0040887,3,87.36,"Standout applicant driven by 4.7 years of experience as a Machine Learning Engineer, strong technical match (Reinforcement Learning, Computer Vision, SEO) in Toronto. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0036184,4,85.99,"Standout applicant driven by 6.0 years of experience as a Recommendation Systems Engineer, strong technical match (Image Classification, QLoRA, FAISS) in Trivandrum, Kerala. Ranked highly due to outstanding Resume Relevance, Market Demand, and Technical Credibility."
CAND_0066999,5,84.95,"Standout applicant driven by 5.9 years of experience as a Recommendation Systems Engineer, strong technical match (Image Classification, OpenSearch, JavaScript) in Delhi, Delhi. Ranked highly due to outstanding Technical Credibility, Resume Relevance, and GitHub Activity."
CAND_0039754,6,84.94,"Standout applicant driven by 16.2 years of experience as a Senior Applied Scientist, strong technical match (Fine-tuning LLMs, LlamaIndex, Qdrant) in Indore, Madhya Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0046064,7,84.3,"Standout applicant driven by 8.9 years of experience as a Senior NLP Engineer, strong technical match (Python, Image Classification, OpenCV) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Market Demand."
CAND_0061265,8,83.61,"Standout applicant driven by 6.6 years of experience as a Recommendation Systems Engineer, strong technical match (Qdrant, SQL, Accounting) in Delhi, Delhi. Ranked highly due to outstanding Resume Relevance, GitHub Activity, and Market Demand."
CAND_0013613,9,83.11,"Standout applicant driven by 4.7 years of experience as a Machine Learning Engineer, strong technical match (Speech Recognition, LoRA, Computer Vision) in Singapore. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0027801,10,83.06,"Standout applicant driven by 7.4 years of experience as a NLP Engineer, strong technical match (Time Series, FAISS, Milvus) in Hyderabad, Telangana. Ranked highly due to outstanding Resume Relevance, Technical Credibility, and Market Demand."
CAND_0080766,11,82.62,"Standout applicant driven by 8.8 years of experience as a Staff Machine Learning Engineer, strong technical match (Search Backend, LoRA, Vue.js) in Coimbatore, Tamil Nadu. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0037980,12,82.16,"Standout applicant driven by 9.0 years of experience as a Senior Applied Scientist, strong technical match (LoRA, Search Infrastructure, PyTorch) in Kolkata, West Bengal. Ranked highly due to outstanding Title Relevance, Resume Relevance, and Market Demand."
CAND_0046525,13,81.78,"Standout applicant driven by 6.1 years of experience as a Senior Machine Learning Engineer, strong technical match (Elasticsearch, Redux, LangChain) in Pune, Maharashtra. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Market Demand."
CAND_0037000,14,81.22,"Standout applicant driven by 2.7 years of experience as a Search Engineer, strong technical match (Embeddings, LangChain, TTS) in Noida, Uttar Pradesh. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0086022,15,81.02,"Standout applicant driven by 5.3 years of experience as a Senior Applied Scientist, strong technical match (Vector Search, MLflow, Recommendation Systems) in Kolkata, West Bengal. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0005538,16,80.77,"Standout applicant driven by 5.9 years of experience as a Senior AI Engineer, strong technical match (Project Management, Vector Representations, Deep Learning) in Kolkata, West Bengal. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
CAND_0037566,17,80.77,"Standout applicant driven by 6.9 years of experience as a Machine Learning Engineer, strong technical match (Pinecone, Time Series, LlamaIndex) in Bangalore, Karnataka. Ranked highly due to outstanding Title Relevance, Technical Credibility, and Market Demand."
CAND_0015493,18,80.18,"Standout applicant driven by 6.4 years of experience as a Data Scientist, strong technical match (gRPC, Image Classification, scikit-learn) in Vizag, Andhra Pradesh. Ranked highly due to outstanding Title Relevance, Technical Credibility, and Market Demand."
CAND_0091534,19,80.04,"Standout applicant driven by 16.6 years of experience as a AI Engineer, strong technical match (Hugging Face Transformers, scikit-learn, Diffusion Models) in Gurgaon, Haryana. Ranked highly due to outstanding Resume Relevance, Title Relevance, and Technical Credibility."
