candidate_id,fit_score,fit_label,honeypot,reasoning
CAND_0089902,5,Reject,True,"This candidate is a clear honeypot and a hard reject based on the provided rules. The entire career history is non-technical, spanning roles in brand design (Project Manager), business analysis/consulting (Operations Manager), customer support (Graphic Designer title), content writing/SEO (Mechanical Engineer title), and accounting (Graphic Designer title). There is zero evidence of engineering ownership, software development, production ML systems, retrieval systems, ranking systems, recommendation systems, search systems, or AI engineering experience.

The 'skills' section lists relevant AI/ML keywords (Semantic Search, LangChain, FAISS, Information Retrieval, Sentence Transformers) but these are completely unsupported by any of the work history descriptions, which makes them highly suspicious. The summary explicitly states 'my own technical depth in AI is limited' in one role description, further contradicting the listed skills if they were meant to be professional experience.

The candidate has an M.Tech in Computer Science and a Ph.D in Information Technology, which, when combined with an *entirely non-engineering* career history with no connection to software development, ML, NLP, search, data science, or AI engineering, is a direct trigger for a honeypot label.

Furthermore, the job titles and descriptions are contradictory within the same role (e.g., 'Graphic Designer' for Customer Support Team Lead and Senior Accounting, 'Mechanical Engineer' for Content Writing). This is another strong honeypot signal.

Per the 'HARD REJECT RULE', candidates whose entire career history is non-technical and who have no evidence of production AI engineering experience must receive a fit_score <= 20 and fit_label = Reject. Online courses, AI curiosity, prompt engineering experiments, or side-project exploration alone are insufficient, which applies to the candidate's 'Generative AI explorer' claims.

Redrob signals also indicate a low recruiter response rate (0.24) and the candidate is not 'open to work' (though recently active), which are negative signals. The experience level (13.7 years) is outside the 5-9 year range, but more critically, the *type* of experience is a complete mismatch. The stated salary range has an inverted min/max, indicating potential data quality issues.

Given the strong evidence of a non-technical background, lack of any relevant engineering experience, contradictory profile elements, and the explicit honeypot/hard reject rules, this candidate is not suitable for the role."
CAND_0001095,10,Reject,True,"This candidate is a clear mismatch and a potential honeypot. The work history displays severe contradictions between job titles and descriptions: 'Mechanical Engineer' roles describe 'Content writing and SEO strategy' and 'Marketing leadership,' while a 'Civil Engineer' role also describes 'Content writing.' These roles are entirely non-technical and completely unrelated to AI/ML engineering, software development, or product delivery in the required domains (retrieval, ranking, search). The summary explicitly states a background in Mechanical Engineering and an interest in exploring AI applications through online courses (RAG, vector databases) and side projects (LangChain, OpenAI API). This aligns perfectly with the negative signal 'AI experience consists primarily of recent (under 12 months) projects using LangChain to call OpenAI,' without any evidence of substantial pre-LLM-era ML production experience. The candidate's listed skills (Embeddings, FAISS, Pinecone, Information Retrieval) are not supported by any tangible production experience in their work history. Given the contradictory job titles/descriptions and the entirely non-technical career history lacking any engineering ownership or production AI systems, this candidate falls under the 'HARD REJECT RULE' (fit_score <= 20) and triggers the 'honeypot_label' for direct evidence of contradiction and fabrication. There is no evidence of production retrieval, ranking, recommendation, or search systems, which are core requirements."
CAND_0094569,5,Reject,True,"The candidate's 12+ year career is entirely non-technical, encompassing operations management, content writing, business analysis, brand design, and accounting. There is no evidence of engineering ownership, software development, production ML systems, or any relevant experience in retrieval, search, ranking, or recommendation systems. The candidate's summary explicitly states curiosity about AI tools and experimentation with ChatGPT, confirming a lack of professional AI engineering depth. The listed technical skills (Weights & Biases, dbt, Vue.js, Django, CI/CD, Kubernetes) are completely unsupported by and contradictory to the detailed job descriptions provided in their work history. Furthermore, there are direct contradictions between job titles and descriptions (e.g., 'Content Writer' with a 'Business Analyst' description, 'Business Analyst' with a 'Brand Design and Creative Direction' description). These inconsistencies, coupled with an M.E. in Statistics but a career devoid of engineering, strongly indicate a honeypot profile. This candidate falls under the mandatory hard reject rule (entirely non-technical career with no engineering evidence) and exhibits multiple honeypot triggers (contradictory claims, unsupported skills, severe mismatch between claimed expertise and experience)."
CAND_0076946,5,Reject,True,"Candidate has only 1.2 years of total experience, which is significantly below the 5-9 years required for a Senior AI Engineer. The headline and summary indicate a Civil Engineer background and current role, with AI interest stemming from online courses and side projects (LangChain, OpenAI API, RAG, vector databases) – explicitly flagged as a negative signal if it constitutes the primary AI experience. The work history title 'Civil Engineer' is directly contradicted by its description, which details 'Content writing and SEO strategy' and 'AI-assisted content production' (using LLM tools, not building them). This contradiction in title/description and the complete lack of production AI engineering, retrieval, ranking, search, or recommendation systems experience, despite a B.Tech in Data Science, triggers the honeypot rule. The candidate's entire career history is non-technical (content writing) with no engineering ownership or production ML. As per the mandatory hard reject rule, this candidate receives a score <= 20 and a 'Reject' label."
CAND_0024288,10,Reject,True,"This candidate is an explicit Reject based on multiple strong negative signals and the Hard Reject Rule. 
1. **Experience Mismatch:** Total experience (2.2 years) is significantly below the 5-9 years required for a Senior AI Engineer. 
2. **Non-Technical Career & No Production AI:** The candidate's stated career titles are 'HR Manager' and 'Civil Engineer'. The descriptions, while highly contradictory to the titles, also do not indicate any software engineering, production ML, or AI engineering experience. The AI exposure mentioned is solely from 'online courses' and 'experimenting with LangChain and the OpenAI API for side projects,' which directly triggers the JD's negative signal: 'If your ""AI experience"" consists primarily of recent (under 12 months) projects using LangChain to call OpenAI — we will probably not move forward, unless you can demonstrate substantial pre-LLM-era ML production experience.' This candidate has no such pre-LLM experience. 
3. **Hard Reject Rule Applied:** The candidate's entire career history is non-technical (HR, Civil Engineering) and lacks any evidence of engineering ownership, software development, production ML systems, retrieval systems, ranking systems, recommendation systems, search systems, or AI engineering experience. Therefore, the fit_score must be <= 20 and fit_label = Reject. 
4. **Honeypot Trigger:** There are severe contradictions in the candidate's work history. The 'HR Manager' role description outlines responsibilities of a 'Marketing leadership role' including 'demand-generation, content marketing, paid acquisition, SEO, email nurture.' The 'Civil Engineer' role description details 'Content writing and SEO strategy for a tech-focused publication' and 'AI-assisted content production.' These descriptions are entirely inconsistent with the stated job titles, indicating a high probability of fabrication or severe keyword stuffing, thus triggering `honeypot_label=true`. 
5. **Redrob Signals:** Additional negative signals include 'open_to_work_flag': false, 'recruiter_response_rate': 0.27, and 'willing_to_relocate': false."
CAND_0015941,10,Reject,True,"This candidate is a clear Reject and a strong honeypot. The entire career history is non-technical, focused on operations, marketing leadership, and brand design, with no evidence of software engineering, ML engineering, or production AI systems. The summary explicitly states 'marketing manager' and 'experimented with ChatGPT and a few other tools for productivity and content creation,' which aligns with the JD's negative signal for 'only_langchain' (or similar API usage) without prior production ML. The candidate's M.S. in Data Science is not supported by any relevant work experience, triggering a honeypot signal (advanced technical degree + entirely non-engineering career). Further honeypot signals include a 'Civil Engineer' title with a 'Marketing leadership role' description (contradictory claims) and a 'last_active_date' in the future (impossible timeline). The low skill assessment for Reinforcement Learning (32.9) and very low GitHub activity (18.7) corroborate the lack of technical fit. The hard reject rule for entirely non-technical careers with no engineering ownership or production ML evidence applies, placing the score <= 20."
CAND_0064066,10,Reject,False,"The candidate has 3.9 years of experience, below the 5-9 year requirement. Their professional work history is exclusively in frontend engineering (Swiggy) and QA/Test engineering (Flipkart), with no evidence of backend, production AI/ML, retrieval, ranking, recommendation, or search systems experience. The candidate explicitly states in their summary, 'haven't done it in a professional capacity yet' for AI/ML work, and describes their AI/ML engagement as 'self-learner level' with 'online courses, played with the OpenAI and Anthropic APIs, built a small RAG side project.' This directly triggers several strong negative signals from the job description: 'no production deployment', 'AI experience consists primarily of recent projects using LangChain to call OpenAI' without pre-LLM ML production experience. While the candidate holds M.E. in Data Science and M.Sc in Machine Learning, their entire professional career contradicts the practical application required. Furthermore, Redrob signals show the candidate is 'not open to work', has a low 'recruiter_response_rate' (0.28), and a very long 'notice_period_days' (150 days), all of which are negative signals for this role. The lack of any professional experience in the core areas of retrieval, ranking, and production AI infrastructure, combined with the candidate's self-admission, makes them a clear Reject for this Founding Senior AI Engineer role."
CAND_0027042,5,Reject,True,"This candidate is a clear honeypot based on multiple, severe contradictions and impossibilities in the profile. The 'last_active_date' is in the future (2025-11-29), which is impossible. Every single work history entry has a job title that contradicts its description (e.g., 'HR Manager' describing 'Mechanical engineering design role', 'Content Writer' describing 'Operations management role'). The 'Skills' section includes highly technical AI/ML/backend terms (Databricks, Weights & Biases, Spring Boot) that are completely unsupported by any of the job descriptions, which are universally non-technical (HR, Operations, Sales, Business Analysis, Content Writing, Mechanical Design). The summary mentions curiosity about AI tools like ChatGPT, which is explicitly discounted as a qualification. The entire career history is non-technical with zero evidence of software development, production AI/ML, retrieval, ranking, search, or recommendation systems. This candidate strictly violates the HARD REJECT RULE and triggers multiple honeypot signals. Technical, product, behavioral, and career fit are all 0."
CAND_0063987,5,Reject,True,"This candidate is a strong Reject and triggers the hard reject rule. The entire career history is non-technical, specifically in an accounting/business analyst role at a consulting firm (TCS), with no evidence of software development, production ML systems, retrieval, ranking, search, or AI engineering experience. The summary mentions 'marketing manager' and 'experimented with ChatGPT,' which are inconsistent with the work history and indicate an AI hobbyist attempting a career pivot without the required engineering foundation. The skills list includes non-technical items like 'Content Writing,' 'Photoshop,' and 'Illustrator,' alongside some tech keywords ('Redux,' 'Angular,' 'React,' 'Hadoop') that are completely unsupported by the 'accounting role' description. Furthermore, multiple honeypot signals are present: (1) The `last_active_date` is '2026-05-25', an impossible future date. (2) Conflicting primary roles: 'Business Analyst' in headline, 'marketing manager' in summary, and 'Senior accounting role' in work history. (3) Claimed B.E. in Data Science is entirely contradicted by work history in accounting. Redrob signals also show low recruiter response rate, not open to work, and a very long notice period, all negative signals for this role."
CAND_0019691,5,Reject,True,"This candidate's entire 1.6-year career is in Customer Support, which is a non-technical domain. There is no evidence of engineering ownership, software development, or production experience with ML systems, retrieval, ranking, search, or recommendation systems. The candidate's summary explicitly states their AI knowledge comes from 'taking online courses' and 'experimenting with LangChain and the OpenAI API for side projects,' which directly triggers the JD's negative signal 'If your AI experience consists primarily of recent (under 12 months) projects using LangChain to call OpenAI – we will probably not move forward.' Furthermore, their work history description explicitly states 'lighter on technical depth beyond product expertise.' The skills section lists highly relevant AI/ML keywords (Information Retrieval, Recommendation Systems, Embeddings, Semantic Search, Fine-tuning LLMs) which are completely unsupported by any professional work experience, creating a significant contradiction between claimed skills and demonstrated expertise. This fits the 'Hard Reject Rule' as their entire career is non-technical with no relevant engineering evidence, mandating a fit_score <= 20 and fit_label = Reject. The discrepancy between the advanced skills listed and the self-admitted hobbyist/course-based experience, coupled with a non-technical background, triggers the honeypot label."
